ID,Type,Group,Acidobacteria,Actinobacteria,Alveolata,Amoebozoa,Aquificae,Bacteroidetes,Balneolaeota,Chlamydiae,Chloroflexi,Crenarchaeota,Cyanobacteria,Deinococcus-Thermus,Diplomonadida,dsDNA,dsRNA,Elusimicrobia,environmental,Euglenozoa,Euryarchaeota,Fibrobacteres,Firmicutes,Fungi,Fusobacteria,Gemmatimonadetes,Kiritimatiellaeota,Metazoa,Nanoarchaeota,Nitrospirae,Nucleariidae,Parabasalia,Planctomycetes,Proteobacteria,Retro-transcribing,Rhizaria,Rhodothermaeota,Spirochaetes,ssRNA,Stramenopiles,Synergistetes,Tenericutes,Thaumarchaeota,Thermodesulfobacteria,Thermotogae,unclassified,Verrucomicrobia,Viridiplantae
PF03862,fermitation,1,0,0.008658009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.961038961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03030303,0,0
PF04025,fermitation,1,0,0,0,0,0,0,0,0,0.007326007,0,0.007326007,0,0,0,0,0,0,0,0,0,0.871794872,0,0,0,0,0,0,0,0,0,0,0.065934066,0,0,0,0,0,0,0.007326007,0,0,0.007326007,0.018315018,0.014652015,0,0
PF04277,fermitation,1,0,0.003174603,0,0,0,0.095238095,0,0,0.022222222,0,0,0,0,0,0,0,0,0,0.015873016,0.003174603,0.250793651,0,0.003174603,0,0.003174603,0,0,0,0,0,0,0.53015873,0,0,0,0.022222222,0,0,0.00952381,0,0,0,0.015873016,0.022222222,0.003174603,0
PF04448,fermitation,1,0,0,0,0,0,0.128205128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.102564103,0,0,0,0,0,0,0,0,0,0,0.769230769,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PF05717,fermitation,1,0.002237136,0,0,0,0,0.078299776,0,0,0.002237136,0,0.002237136,0,0,0,0,0,0,0,0,0.002237136,0.18344519,0,0,0,0,0.004474273,0,0,0,0,0.004474273,0.695749441,0,0,0,0.008948546,0,0,0.002237136,0,0,0,0,0.011185682,0,0.002237136
PF06107,fermitation,1,0,0,0,0,0,0,0,0,0.025974026,0,0,0,0,0,0,0,0,0,0,0,0.948051948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005194805,0,0,0,0.020779221,0,0
PF06130,fermitation,1,0,0.004854369,0,0,0,0.004854369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.67961165,0,0.004854369,0,0,0,0,0,0,0,0.029126214,0.194174757,0,0,0,0,0,0,0.004854369,0.014563107,0,0,0.024271845,0.029126214,0.004854369,0.004854369
PF06686,fermitation,1,0,0.004464286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.964285714,0,0,0,0,0,0,0,0,0,0,0.004464286,0,0,0,0,0,0,0,0,0,0,0,0.026785714,0,0
PF06949,fermitation,1,0,0.007633588,0,0,0,0,0,0,0,0,0.002544529,0,0,0,0,0,0,0,0.002544529,0,0.946564885,0,0,0,0,0,0,0,0,0,0,0.002544529,0,0,0,0,0,0,0,0.005089059,0,0,0.012722646,0.020356234,0,0
PF07556,fermitation,1,0,0.021390374,0,0,0.005347594,0.010695187,0,0,0.010695187,0,0,0,0,0,0,0,0,0,0.010695187,0.005347594,0.395721925,0,0,0,0,0,0,0,0,0,0,0.475935829,0,0,0,0.026737968,0,0,0.005347594,0.010695187,0,0,0.005347594,0.010695187,0,0.005347594
PF07790,fermitation,1,0,0,0,0,0,0,0,0,0,0.026315789,0,0,0,0,0,0,0,0,0.973684211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PF09551,fermitation,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.969162996,0,0,0,0,0.004405286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.026431718,0,0
PF09560,fermitation,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.985294118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014705882,0,0
PF09578,fermitation,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.967741935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.032258065,0,0
PF11167,fermitation,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.024875622,0.004975124,0.940298507,0,0,0,0,0,0,0,0,0,0,0.009950249,0,0,0,0,0,0,0,0,0,0,0,0.019900498,0,0
PF11195,fermitation,1,0,0.063291139,0,0,0,0.037974684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.607594937,0,0,0,0,0,0,0,0,0,0.012658228,0.278481013,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PF11753,fermitation,1,0,0.166666667,0,0,0,0.016666667,0,0,0,0,0,0,0,0.183333333,0,0,0,0,0,0,0.316666667,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016666667
PF11823,fermitation,1,0,0.023529412,0,0,0.023529412,0.017647059,0,0,0.017647059,0,0,0,0,0,0,0,0,0,0,0,0.717647059,0,0.005882353,0,0,0,0,0,0,0,0,0.129411765,0,0,0,0.005882353,0,0,0.017647059,0,0,0,0.011764706,0.029411765,0,0
PF12637,fermitation,1,0,0.030534351,0,0,0,0.053435115,0,0,0.022900763,0,0,0,0,0,0,0.007633588,0,0,0.007633588,0.007633588,0.671755725,0,0.007633588,0,0,0,0,0,0,0,0,0.099236641,0,0,0,0.022900763,0,0,0,0,0,0,0,0.06870229,0,0
PF12646,fermitation,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.064935065,0,0.519480519,0,0,0,0,0,0,0,0,0,0,0.077922078,0,0,0,0.064935065,0,0,0,0,0,0,0.051948052,0.038961039,0,0.181818182
PF12652,fermitation,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.962765957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.037234043,0,0
PF12668,fermitation,1,0,0.037037037,0,0,0,0.148148148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.074074074,0,0,0,0,0,0,0,0.074074074,0,0
PF12670,fermitation,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.971291866,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.028708134,0,0
PF12673,fermitation,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08,0,0
