pfam,biome,Ascomycota,Bacillales,Rhodobacterales,Rhizobiales,Flavobacteriales,Streptomycetaceae,Basidiomycota,Burkholderiales,Clostridiales,Alteromonadales,Arthropoda,Sphingomonadales,Pseudonocardiaceae,Oceanospirillales,Nematoda,Lactobacillales,Micromonosporaceae,Cytophagales,Pseudomonadales,Embryophyta,Microbacteriaceae,Vibrionales,Mucoromycota,Enterobacterales,Sphingobacteriales,Chitinophagales,Caulobacterales,Rhodospirillales,Xanthomonadales,Nocardioidaceae,Mycobacteriaceae,Streptosporangiaceae,Micrococcaceae,Craniata,Nocardiaceae,Nitrosomonadales,Bacteroidales,Chromatiales,Legionellales,Corynebacteriaceae,Chytridiomycota,Thermomonosporaceae,Neisseriales,Saprolegniales,Zoopagomycota,Marinilabiliales,Myxococcales,Peronosporales,Haloferacales,Geodermatophilaceae,Trematoda,Pasteurellales,Chlorophyceae,Actinomycetaceae,Propionibacteriaceae,Desulfobacterales,Cellvibrionales,Thiotrichales,Intrasporangiaceae,Halobacteriales,Selenomonadales,Trypanosomatidae,Bifidobacteriaceae,Nevskiales,Methylococcales,Rhodocyclales,Thermoanaerobacterales,Aeromonadales,Thermales,Dermabacteraceae,Campylobacterales,Planctomycetales,Promicromonosporaceae,Desulfovibrionales,prasinophytes,Acidobacteriaceae,Desulfuromonadales,Nocardiopsaceae,Dermacoccaceae,Methanobacteriales,Anaerolineales,Brevibacteriaceae,Kineosporiaceae,Brachiopoda,Erysipelotrichales,Ktedonobacterales,Natrialbales,Bogoriellaceae,Nitrospiraceae,Anthozoa,Sanguibacteraceae,Rhabditophora,Protosteliales,Cellulomonadaceae,Halanaerobiales,Trebouxiophyceae,Aconoidasida,Saprospirales,Dictyostelids,Verrucomicrobiales,Williamsiaceae,Acholeplasmatales,Betapartitivirus,Balneolales,Albuginales,Frankiaceae,Tissierellales,Gordoniaceae,Jiangellaceae,Actinopolysporaceae,Cestoda,Orbales,Spirochaetaceae,Nakamurellaceae,Cardiobacteriales,Rhodymeniophycidae,Acidiferrobacterales,Intramacronucleata,Syntrophobacterales,Pseudohongiella,Desulfarculales,Gemmatimonadaceae,Kordiimonadales,Beutenbergiaceae,Cryptosporangiaceae,Conoidasida,unclassified,Rhodothermaceae,Oscillatoriales,Alkalimonas,Methanomicrobiales,Microsporidia,Leptospiraceae,Hapalosiphonaceae,Competibacteraceae,Allonocardiopsis,Nostocaceae,Thiohalobacter,Mzabimycetaceae,Parvularculales,Cryptomycota,Mariprofundales,Sneathiellales,Entamoebidae,Phreatobacter
PF00839,soil,0,0,4,26,0,0,4,1,0,0,20,0,0,0,20,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
PF01107,soil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PF01644,soil,122,0,0,0,0,0,36,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,4,6,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PF01803,soil,120,0,0,0,0,0,33,0,0,0,20,0,0,0,19,0,0,0,0,12,0,0,13,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
PF01927,soil,0,0,1,0,0,63,4,26,0,3,10,0,4,9,13,1,0,8,7,11,1,3,0,0,0,3,10,1,2,1,6,12,1,6,8,11,0,2,6,0,0,8,2,4,0,6,4,3,12,2,0,0,3,0,0,3,0,1,0,10,0,4,0,0,1,1,0,0,0,0,1,0,0,3,0,0,0,0,0,0,5,0,1,1,0,0,5,2,0,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,1,0,1,3,0,2,1,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,1,1,0,0,1,0,1,0
PF01940,soil,112,86,0,0,0,0,35,0,7,0,20,0,1,0,0,2,0,5,0,13,0,0,12,0,13,14,4,0,0,0,0,0,0,6,0,0,0,0,0,0,5,0,0,4,4,0,2,4,14,0,0,0,3,0,0,0,0,0,0,11,0,0,1,0,0,0,1,0,2,0,0,0,0,0,2,4,0,0,0,7,3,0,0,1,0,4,5,0,0,1,0,1,1,0,0,1,0,3,1,0,0,0,1,3,1,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,2,0,0,0,0,0,2,1,0,2,0,0,1,0,0,1,0,0,0,0,0,0,1,0
PF01955,soil,0,122,43,12,0,24,0,0,5,0,0,0,15,4,0,0,28,0,0,0,0,0,0,0,0,0,0,1,0,0,3,13,0,0,0,0,1,1,0,0,0,6,0,0,0,1,0,0,13,0,0,0,0,0,0,6,0,0,1,10,5,0,0,0,1,1,2,0,1,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,1,5,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0
PF02596,soil,0,8,2,6,0,1,0,2,13,0,0,0,0,0,0,2,0,0,0,0,0,1,0,1,0,0,2,3,0,2,0,0,0,0,0,0,10,1,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,6,1,0,0,0,6,0,0,0,0,0,3,0,0,0,0,0,0,6,0,0,2,0,0,7,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,3,0,2,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0
PF03000,soil,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PF03103,soil,0,0,0,0,0,0,4,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
